Coverage Type,State,Rated Flood Zones, Policies in Force , Premium + FPF ,Total Annual Payment, Building Coverage , Contents Coverage , Total Coverage 
 Building & Contents , COLORADO , D Zone , 29 ," $56,904 "," $72,127 "," $8,120,000 "," $3,629,000 "," $11,749,000 "
 Building & Contents , COLORADO , Emergency Program , 4 ," $2,025 "," $2,681 "," $205,000 "," $130,000 "," $335,000 "
 Building & Contents , COLORADO , Unknown or Invalid , 87 ," $89,298 "," $112,885 "," $21,804,000 "," $8,418,000 "," $30,222,000 "
 Building & Contents , COLORADO , X Zone ," 6,772 "," $4,501,484 "," $5,739,681 "," $1,529,087,000 "," $593,155,000 "," $2,122,242,000 "
 Building & Contents , CONNECTICUT , All A Zones ," 7,912 "," $15,267,701 "," $18,600,456 "," $1,952,149,000 "," $673,942,000 "," $2,626,091,000 "
 Building & Contents , CONNECTICUT , All V Zones ," 1,113 "," $3,017,226 "," $3,683,185 "," $272,395,000 "," $83,943,000 "," $356,338,000 "
 Building & Contents , CONNECTICUT , Unknown or Invalid , 136 ," $125,008 "," $158,300 "," $30,075,000 "," $11,132,000 "," $41,207,000 "
 Building & Contents , CONNECTICUT , X Zone ," 5,096 "," $4,670,478 "," $5,838,669 "," $1,244,201,000 "," $501,970,000 "," $1,746,171,000 "
 Building & Contents , DELAWARE , All A Zones ," 8,965 "," $9,149,111 "," $11,965,799 "," $2,139,490,000 "," $631,776,000 "," $2,771,266,000 "
 Building & Contents , DELAWARE , All V Zones , 836 ," $631,900 "," $837,415 "," $196,562,000 "," $39,980,000 "," $236,542,000 "
 Building & Contents , DELAWARE , Unknown or Invalid , 29 ," $25,694 "," $34,624 "," $7,472,000 "," $2,616,000 "," $10,088,000 "
 Building & Contents , DELAWARE , X Zone ," 5,616 "," $3,428,666 "," $4,510,072 "," $1,352,724,000 "," $534,811,000 "," $1,887,535,000 "
 Building & Contents , DISTRICT OF COLUMBIA , All A Zones , 551 ," $349,784 "," $436,290 "," $143,673,000 "," $25,144,000 "," $168,817,000 "
 Building & Contents , DISTRICT OF COLUMBIA , Unknown or Invalid , 6 ," $1,872 "," $2,534 "," $1,500,000 "," $600,000 "," $2,100,000 "
 Building & Contents , DISTRICT OF COLUMBIA , X Zone ," 1,410 "," $450,462 "," $593,819 "," $268,774,000 "," $102,746,000 "," $371,520,000 "
 Building & Contents , FLORIDA , All A Zones ," 654,695 "," $672,337,616 "," $821,366,506 "," $152,655,105,000 "," $34,549,909,000 "," $187,205,014,000 "
 Building & Contents , FLORIDA , All V Zones ," 67,483 "," $42,725,184 "," $51,996,705 "," $15,821,826,000 "," $962,591,000 "," $16,784,417,000 "
 Building & Contents , FLORIDA , D Zone , 28 ," $27,198 "," $33,458 "," $5,418,000 "," $2,395,000 "," $7,813,000 "
 Building & Contents , FLORIDA , Unknown or Invalid ," 3,668 "," $1,636,344 "," $2,039,589 "," $855,061,000 "," $199,120,000 "," $1,054,181,000 "
 Building & Contents , FLORIDA , X Zone ," 431,154 "," $275,107,413 "," $343,799,326 "," $101,721,312,000 "," $35,288,132,000 "," $137,009,444,000 "
 Building & Contents , GEORGIA , All A Zones ," 22,283 "," $23,780,917 "," $29,444,521 "," $5,184,488,000 "," $1,739,115,000 "," $6,923,603,000 "
 Building & Contents , GEORGIA , All V Zones , 88 ," $169,026 "," $205,858 "," $20,969,000 "," $7,541,000 "," $28,510,000 "
 Building & Contents , GEORGIA , D Zone , 3 ," $2,422 "," $3,133 "," $750,000 "," $250,000 "," $1,000,000 "
 Building & Contents , GEORGIA , Unknown or Invalid , 99 ," $71,685 "," $88,027 "," $22,678,000 "," $8,901,000 "," $31,579,000 "
 Building & Contents , GEORGIA , X Zone ," 29,646 "," $20,139,610 "," $25,299,414 "," $7,096,524,000 "," $2,793,019,000 "," $9,889,543,000 "
 Building & Contents , GUAM , All A Zones , 25 ," $48,049 "," $59,587 "," $5,793,000 "," $944,000 "," $6,737,000 "
 Building & Contents , GUAM , All V Zones , 5 ," $14,294 "," $17,399 "," $1,019,000 "," $68,000 "," $1,087,000 "
 Building & Contents , GUAM , X Zone , 12 ," $8,732 "," $11,176 "," $2,546,000 "," $990,000 "," $3,536,000 "
 Building & Contents , HAWAII , All A Zones ," 28,574 "," $14,975,721 "," $17,928,673 "," $6,966,740,000 "," $276,607,000 "," $7,243,347,000 "
 Building & Contents , HAWAII , All V Zones ," 3,016 "," $3,571,355 "," $4,281,666 "," $686,963,000 "," $41,634,000 "," $728,597,000 "
 Building & Contents , HAWAII , D Zone , 255 ," $535,252 "," $648,188 "," $58,344,000 "," $20,982,000 "," $79,326,000 "
 Building & Contents , HAWAII , Unknown or Invalid , 1 , $725 , $872 ," $220,000 "," $84,000 "," $304,000 "
 Building & Contents , HAWAII , X Zone ," 5,928 "," $4,963,852 "," $6,265,325 "," $1,465,225,000 "," $424,157,000 "," $1,889,382,000 "
 Building & Contents , IDAHO , All A Zones ," 1,805 "," $1,755,987 "," $2,182,597 "," $427,278,000 "," $129,336,000 "," $556,614,000 "
 Building & Contents , IDAHO , D Zone , 15 ," $20,612 "," $26,820 "," $3,750,000 "," $1,449,000 "," $5,199,000 "
 Building & Contents , IDAHO , Emergency Program , 1 , $387 , $473 ," $35,000 "," $10,000 "," $45,000 "
 Building & Contents , IDAHO , Unknown or Invalid , 109 ," $85,488 "," $108,302 "," $24,610,000 "," $9,530,000 "," $34,140,000 "
 Building & Contents , IDAHO , X Zone ," 1,281 "," $1,089,497 "," $1,376,267 "," $310,926,000 "," $125,247,000 "," $436,173,000 "
 Building & Contents , ILLINOIS , All A Zones ," 6,762 "," $9,254,053 "," $11,311,818 "," $1,386,501,000 "," $376,883,000 "," $1,763,384,000 "
 Building & Contents , ILLINOIS , All V Zones , 927 ," $183,776 "," $216,871 "," $213,363,000 "," $794,000 "," $214,157,000 "
 Building & Contents , ILLINOIS , Emergency Program , 11 ," $5,673 "," $7,327 "," $361,000 "," $107,000 "," $468,000 "
 Building & Contents , ILLINOIS , Unknown or Invalid , 488 ," $430,614 "," $531,950 "," $108,552,000 "," $43,358,000 "," $151,910,000 "
 Building & Contents , ILLINOIS , X Zone ," 7,291 "," $6,050,819 "," $7,477,382 "," $1,607,040,000 "," $656,959,000 "," $2,263,999,000 "
 Building & Contents , INDIANA , All A Zones ," 4,244 "," $5,017,478 "," $6,210,142 "," $816,737,000 "," $312,590,000 "," $1,129,327,000 "
 Building & Contents , INDIANA , All V Zones , 1 , $664 ," $1,025 "," $250,000 "," $100,000 "," $350,000 "
 Building & Contents , INDIANA , D Zone , 1 , $771 , $926 ," $250,000 "," $100,000 "," $350,000 "
 Building & Contents , INDIANA , Emergency Program , 4 ," $1,680 "," $2,049 "," $140,000 "," $40,000 "," $180,000 "
 Building & Contents , INDIANA , Unknown or Invalid , 39 ," $31,902 "," $40,539 "," $10,329,000 "," $5,958,000 "," $16,287,000 "
 Building & Contents , INDIANA , X Zone ," 3,779 "," $3,022,712 "," $3,781,123 "," $859,592,000 "," $358,199,000 "," $1,217,791,000 "
 Building & Contents , IOWA , All A Zones ," 2,343 "," $3,497,898 "," $4,359,122 "," $485,076,000 "," $200,934,000 "," $686,010,000 "
 Building & Contents , IOWA , Emergency Program , 2 ," $1,513 "," $2,043 "," $60,000 "," $16,000 "," $76,000 "
 Building & Contents , IOWA , Unknown or Invalid , 19 ," $20,335 "," $25,660 "," $3,939,000 "," $1,401,000 "," $5,340,000 "
 Building & Contents , IOWA , X Zone ," 3,064 "," $3,509,599 "," $4,386,350 "," $716,655,000 "," $326,272,000 "," $1,042,927,000 "
 Building & Contents , KANSAS , All A Zones ," 1,963 "," $2,344,368 "," $2,906,569 "," $360,841,000 "," $141,986,000 "," $502,827,000 "
 Building & Contents , KANSAS , Emergency Program , 5 ," $3,528 "," $4,920 "," $274,000 "," $45,000 "," $319,000 "
 Building & Contents , KANSAS , Unknown or Invalid , 88 ," $76,180 "," $97,650 "," $18,205,000 "," $7,718,000 "," $25,923,000 "
 Building & Contents , KANSAS , X Zone ," 1,965 "," $1,729,532 "," $2,168,779 "," $444,587,000 "," $192,350,000 "," $636,937,000 "
 Building & Contents , KENTUCKY , All A Zones ," 4,360 "," $6,869,295 "," $8,398,115 "," $773,540,000 "," $257,207,000 "," $1,030,747,000 "
 Building & Contents , KENTUCKY , Unknown or Invalid , 27 ," $38,905 "," $50,403 "," $4,201,000 "," $887,000 "," $5,088,000 "
 Building & Contents , KENTUCKY , X Zone ," 2,762 "," $2,726,586 "," $3,409,432 "," $579,641,000 "," $236,523,000 "," $816,164,000 "
 Building & Contents , LOUISIANA , All A Zones ," 134,539 "," $150,972,912 "," $184,283,293 "," $28,776,257,000 "," $9,164,421,000 "," $37,940,678,000 "
 Building & Contents , LOUISIANA , All V Zones ," 1,482 "," $3,079,422 "," $3,806,746 "," $296,181,000 "," $84,376,000 "," $380,557,000 "
 Building & Contents , LOUISIANA , D Zone , 4 ," $8,067 "," $9,810 "," $890,000 "," $431,000 "," $1,321,000 "
 Building & Contents , LOUISIANA , Unknown or Invalid ," 23,552 "," $18,373,386 "," $22,533,593 "," $5,558,402,000 "," $2,198,439,000 "," $7,756,841,000 "
 Building & Contents , LOUISIANA , X Zone ," 183,452 "," $141,859,062 "," $177,471,733 "," $43,509,020,000 "," $16,948,518,000 "," $60,457,538,000 "
 Building & Contents , MAINE , All A Zones ," 1,712 "," $2,860,752 "," $3,618,511 "," $393,776,000 "," $109,286,000 "," $503,062,000 "
 Building & Contents , MAINE , All V Zones , 482 ," $775,734 "," $989,931 "," $117,086,000 "," $29,978,000 "," $147,064,000 "
 Building & Contents , MAINE , D Zone , 1 , $662 , $798 ," $150,000 "," $60,000 "," $210,000 "
 Building & Contents , MAINE , Unknown or Invalid ," 1,168 "," $959,352 "," $1,288,023 "," $280,552,000 "," $107,416,000 "," $387,968,000 "
 Building & Contents , MAINE , X Zone ," 1,790 "," $1,486,389 "," $1,997,044 "," $417,698,000 "," $161,171,000 "," $578,869,000 "
 Building & Contents , MARYLAND , All A Zones ," 12,335 "," $9,725,778 "," $12,497,516 "," $2,968,964,000 "," $881,167,000 "," $3,850,131,000 "
 Building & Contents , MARYLAND , All V Zones , 442 ," $217,900 "," $283,973 "," $99,660,000 "," $22,198,000 "," $121,858,000 "
 Building & Contents , MARYLAND , Unknown or Invalid , 33 ," $44,564 "," $55,382 "," $8,306,000 "," $3,351,000 "," $11,657,000 "
 Building & Contents , MARYLAND , X Zone ," 19,521 "," $8,885,299 "," $11,578,440 "," $4,625,977,000 "," $1,559,601,000 "," $6,185,578,000 "
 Building & Contents , MASSACHUSETTS , All A Zones ," 15,236 "," $22,112,457 "," $27,519,264 "," $3,751,666,000 "," $1,135,930,000 "," $4,887,596,000 "
 Building & Contents , MASSACHUSETTS , All V Zones ," 3,225 "," $5,721,563 "," $7,132,209 "," $772,412,000 "," $215,161,000 "," $987,573,000 "
 Building & Contents , MASSACHUSETTS , Unknown or Invalid , 468 ," $445,018 "," $568,192 "," $118,994,000 "," $42,438,000 "," $161,432,000 "
 Building & Contents , MASSACHUSETTS , X Zone ," 9,937 "," $7,352,473 "," $9,575,995 "," $2,369,312,000 "," $878,643,000 "," $3,247,955,000 "
 Building & Contents , MICHIGAN , All A Zones ," 5,429 "," $5,262,020 "," $6,580,464 "," $1,142,791,000 "," $368,633,000 "," $1,511,424,000 "
 Building & Contents , MICHIGAN , All V Zones , 55 ," $69,365 "," $89,513 "," $14,289,000 "," $5,805,000 "," $20,094,000 "
 Building & Contents , MICHIGAN , D Zone , 11 ," $39,860 "," $48,569 "," $3,532,000 "," $1,876,000 "," $5,408,000 "
 Building & Contents , MICHIGAN , Emergency Program , 14 ," $6,800 "," $8,931 "," $480,000 "," $137,000 "," $617,000 "
 Building & Contents , MICHIGAN , Unknown or Invalid , 81 ," $53,602 "," $70,183 "," $18,133,000 "," $6,303,000 "," $24,436,000 "
 Building & Contents , MICHIGAN , X Zone ," 4,482 "," $2,930,243 "," $3,719,470 "," $944,238,000 "," $369,243,000 "," $1,313,481,000 "
 Building & Contents , MINNESOTA , All A Zones ," 1,555 "," $2,157,059 "," $2,674,324 "," $354,284,000 "," $135,863,000 "," $490,147,000 "
 Building & Contents , MINNESOTA , D Zone , 3 ," $2,325 "," $3,018 "," $750,000 "," $300,000 "," $1,050,000 "
 Building & Contents , MINNESOTA , Emergency Program , 3 ," $6,091 "," $7,686 "," $235,000 "," $144,000 "," $379,000 "
 Building & Contents , MINNESOTA , Unknown or Invalid , 275 ," $270,908 "," $340,643 "," $60,211,000 "," $24,559,000 "," $84,770,000 "
 Building & Contents , MINNESOTA , X Zone ," 2,695 "," $2,097,403 "," $2,614,875 "," $593,010,000 "," $245,218,000 "," $838,228,000 "
 Building & Contents , MISSISSIPPI , All A Zones ," 21,938 "," $26,149,260 "," $32,408,428 "," $4,618,075,000 "," $1,621,421,000 "," $6,239,496,000 "
 Building & Contents , MISSISSIPPI , All V Zones ," 1,857 "," $2,485,716 "," $3,119,311 "," $460,154,000 "," $130,461,000 "," $590,615,000 "
 Building & Contents , MISSISSIPPI , Unknown or Invalid , 142 ," $106,972 "," $133,756 "," $30,335,000 "," $12,031,000 "," $42,366,000 "
 Building & Contents , MISSISSIPPI , X Zone ," 15,039 "," $12,612,649 "," $15,817,428 "," $3,435,174,000 "," $1,365,207,000 "," $4,800,381,000 "
 Building & Contents , MISSOURI , All A Zones ," 4,337 "," $7,185,794 "," $8,875,690 "," $857,016,000 "," $306,474,000 "," $1,163,490,000 "
 Building & Contents , MISSOURI , D Zone , 20 ," $17,161 "," $21,030 "," $2,868,000 "," $731,000 "," $3,599,000 "
 Building & Contents , MISSOURI , Unknown or Invalid , 144 ," $120,912 "," $150,464 "," $28,293,000 "," $12,180,000 "," $40,473,000 "
 Building & Contents , MISSOURI , X Zone ," 3,550 "," $4,180,095 "," $5,210,609 "," $854,063,000 "," $407,332,000 "," $1,261,395,000 "
 Building & Contents , MONTANA , All A Zones ," 1,434 "," $1,348,488 "," $1,694,363 "," $271,697,000 "," $96,832,000 "," $368,529,000 "
 Building & Contents , MONTANA , D Zone , 23 ," $23,409 "," $30,482 "," $4,973,000 "," $2,039,000 "," $7,012,000 "
 Building & Contents , MONTANA , Unknown or Invalid , 90 ," $60,631 "," $80,903 "," $19,572,000 "," $7,791,000 "," $27,363,000 "
 Building & Contents , MONTANA , X Zone , 901 ," $754,254 "," $965,830 "," $211,842,000 "," $85,051,000 "," $296,893,000 "
 Building & Contents , NEBRASKA , All A Zones ," 2,086 "," $2,411,801 "," $3,048,544 "," $458,895,000 "," $181,141,000 "," $640,036,000 "
 Building & Contents , NEBRASKA , Emergency Program , 3 ," $1,368 "," $2,114 "," $170,000 "," $30,000 "," $200,000 "
 Building & Contents , NEBRASKA , Unknown or Invalid , 41 ," $32,615 "," $41,188 "," $8,125,000 "," $3,269,000 "," $11,394,000 "
 Building & Contents , NEBRASKA , X Zone ," 1,303 "," $1,097,669 "," $1,402,527 "," $308,716,000 "," $124,639,000 "," $433,355,000 "
 Building & Contents , NEVADA , All A Zones ," 2,240 "," $2,299,158 "," $2,849,054 "," $528,105,000 "," $192,176,000 "," $720,281,000 "
 Building & Contents , NEVADA , D Zone , 4 ," $1,953 "," $2,371 "," $1,000,000 "," $400,000 "," $1,400,000 "
 Building & Contents , NEVADA , Unknown or Invalid , 1 ," $3,955 "," $4,908 "," $500,000 "," $233,000 "," $733,000 "
 Building & Contents , NEVADA , X Zone ," 2,162 "," $1,639,676 "," $2,063,499 "," $532,934,000 "," $216,576,000 "," $749,510,000 "
 Building & Contents , NEW HAMPSHIRE , All A Zones ," 1,760 "," $2,358,739 "," $2,926,117 "," $386,961,000 "," $96,917,000 "," $483,878,000 "
 Building & Contents , NEW HAMPSHIRE , All V Zones , 105 ," $136,770 "," $175,945 "," $25,546,000 "," $8,596,000 "," $34,142,000 "
 Building & Contents , NEW HAMPSHIRE , Emergency Program , 1 , $277 , $568 ," $35,000 "," $10,000 "," $45,000 "
 Building & Contents , NEW HAMPSHIRE , Unknown or Invalid , 21 ," $14,213 "," $19,143 "," $3,974,000 "," $1,580,000 "," $5,554,000 "
 Building & Contents , NEW HAMPSHIRE , X Zone ," 1,533 "," $1,330,923 "," $1,690,367 "," $357,125,000 "," $141,274,000 "," $498,399,000 "
 Building & Contents , NEW JERSEY , All A Zones ," 75,546 "," $86,905,287 "," $110,235,768 "," $18,235,872,000 "," $4,290,513,000 "," $22,526,385,000 "
 Building & Contents , NEW JERSEY , All V Zones ," 1,246 "," $1,612,543 "," $2,153,080 "," $319,182,000 "," $108,764,000 "," $427,946,000 "
 Building & Contents , NEW JERSEY , D Zone , 7 ," $28,452 "," $35,264 "," $2,340,000 "," $1,604,000 "," $3,944,000 "
 Building & Contents , NEW JERSEY , Unknown or Invalid ," 1,621 "," $1,290,341 "," $1,671,828 "," $397,571,000 "," $135,204,000 "," $532,775,000 "
 Building & Contents , NEW JERSEY , X Zone ," 22,582 "," $17,834,652 "," $22,547,815 "," $5,433,814,000 "," $1,836,444,000 "," $7,270,258,000 "
 Building & Contents , NEW MEXICO , All A Zones ," 3,223 "," $4,478,456 "," $5,570,700 "," $670,239,000 "," $239,528,000 "," $909,767,000 "
 Building & Contents , NEW MEXICO , D Zone , 8 ," $7,645 "," $10,054 "," $2,050,000 "," $1,031,000 "," $3,081,000 "
 Building & Contents , NEW MEXICO , Emergency Program , 2 ," $1,629 "," $2,180 "," $70,000 "," $20,000 "," $90,000 "
 Building & Contents , NEW MEXICO , Unknown or Invalid , 14 ," $10,286 "," $13,268 "," $2,494,000 "," $1,012,000 "," $3,506,000 "
 Building & Contents , NEW MEXICO , X Zone ," 3,942 "," $4,231,956 "," $5,399,347 "," $763,981,000 "," $317,237,000 "," $1,081,218,000 "
 Building & Contents , NEW YORK , All A Zones ," 53,584 "," $77,019,457 "," $94,124,903 "," $13,056,744,000 "," $3,296,190,000 "," $16,352,934,000 "
 Building & Contents , NEW YORK , All V Zones ," 1,788 "," $3,268,822 "," $4,081,635 "," $455,416,000 "," $121,493,000 "," $576,909,000 "
 Building & Contents , NEW YORK , Unknown or Invalid ," 2,136 "," $2,255,204 "," $2,868,402 "," $509,895,000 "," $239,919,000 "," $749,814,000 "
 Building & Contents , NEW YORK , X Zone ," 57,496 "," $40,998,925 "," $51,759,340 "," $13,772,885,000 "," $4,628,569,000 "," $18,401,454,000 "
 Building & Contents , N. MARIANA ISLAND , All A Zones , 1 , $591 , $939 ," $99,000 "," $2,000 "," $101,000 "
 Building & Contents , N. MARIANA ISLAND , X Zone , 1 , $627 , $756 ," $134,000 "," $48,000 "," $182,000 "
 Building & Contents , NORTH CAROLINA , All A Zones ," 40,536 "," $41,040,415 "," $52,656,994 "," $9,299,933,000 "," $2,665,889,000 "," $11,965,822,000 "
 Building & Contents , NORTH CAROLINA , All V Zones ," 5,941 "," $6,375,464 "," $8,441,386 "," $1,353,317,000 "," $323,816,000 "," $1,677,133,000 "
 Building & Contents , NORTH CAROLINA , Unknown or Invalid , 103 ," $81,845 "," $107,061 "," $23,644,000 "," $8,786,000 "," $32,430,000 "
 Building & Contents , NORTH CAROLINA , X Zone ," 47,438 "," $31,679,655 "," $41,128,865 "," $11,183,329,000 "," $4,243,040,000 "," $15,426,369,000 "
 Building & Contents , NORTH DAKOTA , All A Zones ," 1,716 "," $1,526,997 "," $1,884,724 "," $406,008,000 "," $153,277,000 "," $559,285,000 "
 Building & Contents , NORTH DAKOTA , Emergency Program , 4 ," $2,058 "," $2,495 "," $140,000 "," $40,000 "," $180,000 "
 Building & Contents , NORTH DAKOTA , Unknown or Invalid , 11 ," $6,460 "," $8,029 "," $1,992,000 "," $685,000 "," $2,677,000 "
 Building & Contents , NORTH DAKOTA , X Zone ," 3,090 "," $2,261,641 "," $2,847,856 "," $759,798,000 "," $301,950,000 "," $1,061,748,000 "
 Building & Contents , OHIO , All A Zones ," 5,450 "," $7,717,831 "," $9,547,461 "," $1,074,186,000 "," $398,700,000 "," $1,472,886,000 "
 Building & Contents , OHIO , All V Zones , 13 ," $10,357 "," $14,012 "," $2,932,000 "," $713,000 "," $3,645,000 "
 Building & Contents , OHIO , Emergency Program , 1 , $923 ," $1,331 "," $100,000 "," $8,000 "," $108,000 "
 Building & Contents , OHIO , Unknown or Invalid , 94 ," $92,200 "," $116,651 "," $18,958,000 "," $7,030,000 "," $25,988,000 "
 Building & Contents , OHIO , X Zone ," 6,412 "," $4,854,382 "," $6,089,868 "," $1,391,492,000 "," $579,051,000 "," $1,970,543,000 "
 Building & Contents , OKLAHOMA , All A Zones ," 2,365 "," $3,122,501 "," $3,863,561 "," $477,131,000 "," $176,830,000 "," $653,961,000 "
 Building & Contents , OKLAHOMA , D Zone , 2 ," $5,433 "," $6,894 "," $511,000 "," $361,000 "," $872,000 "
 Building & Contents , OKLAHOMA , Unknown or Invalid , 12 ," $10,375 "," $13,338 "," $2,753,000 "," $1,414,000 "," $4,167,000 "
 Building & Contents , OKLAHOMA , X Zone ," 3,220 "," $2,379,023 "," $2,985,207 "," $750,978,000 "," $302,954,000 "," $1,053,932,000 "
 Building & Contents , OREGON , All A Zones ," 5,168 "," $6,149,153 "," $7,641,449 "," $1,244,395,000 "," $408,283,000 "," $1,652,678,000 "
 Building & Contents , OREGON , All V Zones , 507 ," $492,158 "," $623,002 "," $92,246,000 "," $21,375,000 "," $113,621,000 "
 Building & Contents , OREGON , D Zone , 3 ," $5,655 "," $6,723 "," $750,000 "," $300,000 "," $1,050,000 "
 Building & Contents , OREGON , Unknown or Invalid , 111 ," $87,319 "," $112,291 "," $26,023,000 "," $10,276,000 "," $36,299,000 "
 Building & Contents , OREGON , X Zone ," 8,608 "," $5,465,903 "," $7,072,768 "," $2,124,800,000 "," $643,371,000 "," $2,768,171,000 "
 Building & Contents , PENNSYLVANIA , All A Zones ," 12,310 "," $21,673,705 "," $26,536,050 "," $2,483,375,000 "," $851,712,000 "," $3,335,087,000 "
 Building & Contents , PENNSYLVANIA , All V Zones , 21 ," $26,245 "," $34,243 "," $4,883,000 "," $2,122,000 "," $7,005,000 "
 Building & Contents , PENNSYLVANIA , Unknown or Invalid , 45 ," $68,461 "," $85,575 "," $7,804,000 "," $3,401,000 "," $11,205,000 "
 Building & Contents , PENNSYLVANIA , X Zone ," 13,690 "," $12,550,956 "," $15,677,754 "," $3,026,393,000 "," $1,195,001,000 "," $4,221,394,000 "
 Building & Contents , PUERTO RICO , All A Zones , 909 ," $598,589 "," $797,766 "," $152,971,000 "," $53,294,000 "," $206,265,000 "
 Building & Contents , PUERTO RICO , All V Zones , 35 ," $21,773 "," $30,997 "," $7,582,000 "," $3,504,000 "," $11,086,000 "
 Building & Contents , PUERTO RICO , D Zone , 1 , $856 ," $1,252 "," $250,000 "," $100,000 "," $350,000 "
 Building & Contents , PUERTO RICO , Unknown or Invalid , 8 ," $3,504 "," $5,167 "," $1,723,000 "," $619,000 "," $2,342,000 "
 Building & Contents , PUERTO RICO , X Zone , 669 ," $375,281 "," $496,275 "," $138,522,000 "," $47,729,000 "," $186,251,000 "
 Building & Contents , RHODE ISLAND , All A Zones ," 2,638 "," $3,664,336 "," $4,602,319 "," $649,347,000 "," $214,201,000 "," $863,548,000 "
 Building & Contents , RHODE ISLAND , All V Zones , 804 ," $1,194,574 "," $1,508,704 "," $196,975,000 "," $55,606,000 "," $252,581,000 "
 Building & Contents , RHODE ISLAND , Unknown or Invalid , 3 ," $2,664 "," $3,418 "," $875,000 "," $212,000 "," $1,087,000 "
 Building & Contents , RHODE ISLAND , X Zone ," 3,161 "," $2,436,848 "," $3,138,814 "," $774,922,000 "," $284,227,000 "," $1,059,149,000 "
 Building & Contents , SOUTH CAROLINA , All A Zones ," 61,067 "," $57,522,754 "," $71,856,590 "," $14,496,681,000 "," $4,409,305,000 "," $18,905,986,000 "
 Building & Contents , SOUTH CAROLINA , All V Zones ," 2,353 "," $4,112,486 "," $5,054,260 "," $518,589,000 "," $117,323,000 "," $635,912,000 "
